url,status,type,title,meta_description,canonical,robots,h1,h2_count,h3_count,word_count,image_count,schema_types,internal_links_out
https://kraftboxpack.com/,200,home,"Kraft Box Pack | Custom Kraft Boxes & Packaging, Wholesale","Eco-friendly Kraft boxes at KraftBoxPack. Durable, sustainable packaging solutions that protect your products and care for the environment.",https://kraftboxpack.com/,,Eco-Friendly Kraft Boxes for Every Packaging Need,100,12,2400,98,Organization,261
https://kraftboxpack.com/about-us/,200,page,About Us - Kraft Box Pack,,https://kraftboxpack.com/about-us/,,About Us,5,2,387,7,,25
https://kraftboxpack.com/cart/,200,page,Cart - Kraft Box Pack,,https://kraftboxpack.com/cart/,,Cart,5,0,149,11,,34
https://kraftboxpack.com/checkout/,200,page,Cart - Kraft Box Pack,,https://kraftboxpack.com/cart/,,Cart,5,0,149,11,,34
https://kraftboxpack.com/contact-us/,200,page,Contact Us - Kraft Box Pack,,https://kraftboxpack.com/contact-us/,,,5,1,268,7,,25
https://kraftboxpack.com/my-account/,200,page,My account - Kraft Box Pack,,https://kraftboxpack.com/my-account/,,My account,3,0,128,7,,27
https://kraftboxpack.com/privacy-policy/,200,page,Privacy Policy - Kraft Box Pack,,https://kraftboxpack.com/privacy-policy/,,Privacy Policy,5,1,691,7,,25
https://kraftboxpack.com/product-category/colored-kraft-boxes/,200,category,Colored Kraft Boxes Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/colored-kraft-boxes/,,Colored Kraft Boxes,8,0,173,13,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,36
https://kraftboxpack.com/product-category/jewelry-accessories-boxes/,200,category,Jewelry & Accessories Boxes Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/jewelry-accessories-boxes/,,Jewelry & Accessories Boxes,7,0,177,12,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,34
https://kraftboxpack.com/product-category/kraft-apparel-boxes/,200,category,Kraft Apparel Boxes Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-apparel-boxes/,,Kraft Apparel Boxes,8,0,176,13,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,36
https://kraftboxpack.com/product-category/kraft-art-boxes/,200,category,Kraft Art Boxes Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-art-boxes/,,Kraft Art Boxes,9,0,180,14,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,38
https://kraftboxpack.com/product-category/kraft-cosmetic-boxes/,200,category,Kraft Cosmetic Boxes Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-cosmetic-boxes/,,Kraft Cosmetic Boxes,4,0,148,9,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,28
https://kraftboxpack.com/product-category/kraft-display-packaging/,200,category,Kraft Display Packaging Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-display-packaging/,,Kraft Display Packaging,6,0,163,11,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,32
https://kraftboxpack.com/product-category/kraft-electronics-boxes/,200,category,Kraft Electronics Boxes Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-electronics-boxes/,,Kraft Electronics Boxes,8,0,175,13,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,36
https://kraftboxpack.com/product-category/kraft-food-packaging/,200,category,Kraft Food Packaging Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-food-packaging/,,Kraft Food Packaging,18,0,249,23,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,58
https://kraftboxpack.com/product-category/kraft-gift-specialty-boxes/,200,category,Kraft Gift & Specialty Boxes Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-gift-specialty-boxes/,,Kraft Gift & Specialty Boxes,18,0,264,23,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,59
https://kraftboxpack.com/product-category/kraft-gift-specialty-boxes/custom-gift-boxes/,200,category,Custom Gift Boxes Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-gift-specialty-boxes/custom-gift-boxes/,,Custom Gift Boxes,18,0,250,23,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,58
https://kraftboxpack.com/product-category/kraft-industrial-packaging/,200,category,Kraft Industrial Packaging Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-industrial-packaging/,,Kraft Industrial Packaging,9,0,186,14,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,38
https://kraftboxpack.com/product-category/kraft-luxury-packaging/,200,category,Kraft Luxury Packaging Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-luxury-packaging/,,Kraft Luxury Packaging,10,0,184,15,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,40
https://kraftboxpack.com/product-category/kraft-packaging-boxes/,200,category,Kraft Packaging Boxes Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-packaging-boxes/,,Kraft Packaging Boxes,18,0,240,23,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,58
https://kraftboxpack.com/product-category/kraft-packaging-boxes/karft-cosmetic-boxes/,200,category,Kraft Cosmetic Boxes Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-packaging-boxes/karft-cosmetic-boxes/,,Kraft Cosmetic Boxes,11,0,197,16,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,42
https://kraftboxpack.com/product-category/kraft-pharma-boxes/,200,category,Kraft Pharma boxes Archives - Kraft Box Pack,,https://kraftboxpack.com/product-category/kraft-pharma-boxes/,,Kraft Pharma boxes,8,0,177,13,AggregateRating | Brand | ImageObject | ItemList | ListItem | Offer | Person | Product | Rating | Review,36
